Instance_name, number words, number types, TTR, Letters per word, number paragraphs, number of sentences, number of words per sentence,determiners,demonstratives,number of pronouns,first person pronouns,second person pronouns,third person pronouns,conjuncts,connectives,negations,future
dev_001,103,62,0.601941748,2.572815534,1,11,9.363636364,0.009708738,0,0.048543689,0.038834951,0.009708738,0,0,0.009708738,0,0.009708738
dev_002,183,110,0.601092896,3.371584699,1,17,10.76470588,0.016393443,0,0.114754098,0.06010929,0.027322404,0.027322404,0.005464481,0.06010929,0.016393443,0.005464481
dev_003,119,94,0.789915966,3.756302521,1,15,7.933333333,0.058823529,0,0.134453782,0.067226891,0.067226891,0,0,0.042016807,0,0.008403361
dev_004,158,102,0.64556962,3.272151899,1,13,12.15384615,0.044303797,0.012658228,0.094936709,0.082278481,0.012658228,0,0,0.012658228,0,0.012658228
dev_005,102,67,0.656862745,2.676470588,1,8,12.75,0.039215686,0.009803922,0.088235294,0.068627451,0.009803922,0.009803922,0,0.019607843,0,0
dev_006,88,58,0.659090909,2.318181818,1,13,6.769230769,0.022727273,0,0.011363636,0.011363636,0,0,0,0.022727273,0.011363636,0
dev_007,168,105,0.625,3.470238095,1,20,8.4,0.077380952,0.011904762,0.071428571,0.047619048,0.023809524,0,0,0.011904762,0,0.011904762
dev_008,146,95,0.650684932,3.5,1,15,9.733333333,0.04109589,0.006849315,0.061643836,0.02739726,0.020547945,0.01369863,0,0.034246575,0.01369863,0
dev_009,430,207,0.481395349,3.539534884,1,24,17.91666667,0.044186047,0.013953488,0.158139535,0.130232558,0.011627907,0.01627907,0.002325581,0.048837209,0.027906977,0.006976744
dev_010,75,47,0.626666667,2.44,1,10,7.5,0,0,0.026666667,0.026666667,0,0,0,0.013333333,0.013333333,0
dev_011,152,99,0.651315789,3.197368421,1,11,13.81818182,0.026315789,0.006578947,0.092105263,0.092105263,0,0,0,0.019736842,0.039473684,0
dev_012,218,131,0.600917431,3.536697248,1,14,15.57142857,0.068807339,0.004587156,0.082568807,0.068807339,0.013761468,0,0,0.02293578,0.004587156,0.013761468
dev_013,88,59,0.670454545,2.738636364,1,6,14.66666667,0.034090909,0.011363636,0.034090909,0.022727273,0.011363636,0,0,0.022727273,0,0
dev_014,242,163,0.673553719,4.128099174,1,48,5.041666667,0.045454545,0,0.111570248,0.061983471,0.037190083,0.012396694,0,0.012396694,0.004132231,0.012396694
dev_015,236,137,0.580508475,3.652542373,1,23,10.26086957,0.105932203,0.016949153,0.076271186,0.029661017,0.033898305,0.012711864,0,0.029661017,0,0
dev_016,87,56,0.643678161,2.816091954,1,9,9.666666667,0.034482759,0,0.011494253,0.011494253,0,0,0,0.022988506,0,0
dev_017,270,176,0.651851852,4.144444444,1,37,7.297297297,0.085185185,0.011111111,0.081481481,0.051851852,0.018518519,0.011111111,0,0.014814815,0.018518519,0
dev_018,737,311,0.421981004,3.633649932,1,50,14.74,0.086838535,0.02578019,0.164179104,0.130257802,0.017639077,0.016282225,0.002713704,0.029850746,0.013568521,0.009497965
dev_019,96,64,0.666666667,2.9375,1,6,16,0,0,0.083333333,0.072916667,0,0.010416667,0,0.020833333,0.010416667,0
dev_020,276,160,0.579710145,3.695652174,1,16,17.25,0.079710145,0.003623188,0.086956522,0.036231884,0.025362319,0.025362319,0,0.025362319,0.014492754,0.003623188
dev_021,324,187,0.577160494,3.694444444,1,29,11.17241379,0.070987654,0.012345679,0.135802469,0.067901235,0.046296296,0.021604938,0,0.015432099,0.00308642,0.012345679
dev_022,152,98,0.644736842,3.671052632,1,21,7.238095238,0.059210526,0.006578947,0.072368421,0.046052632,0.019736842,0.006578947,0,0.013157895,0,0
dev_023,191,114,0.596858639,3.261780105,1,10,19.1,0.073298429,0.005235602,0.09947644,0.078534031,0.005235602,0.015706806,0,0.036649215,0.015706806,0.010471204
dev_024,24,21,0.875,3.791666667,1,1,24,0.083333333,0,0.083333333,0.083333333,0,0,0,0.083333333,0.041666667,0
dev_025,115,75,0.652173913,3.443478261,1,11,10.45454545,0.008695652,0,0.104347826,0.104347826,0,0,0,0,0,0
dev_026,211,125,0.592417062,3.374407583,1,20,10.55,0.061611374,0.014218009,0.099526066,0.033175355,0.052132701,0.014218009,0,0.033175355,0.004739336,0.009478673
dev_027,212,141,0.66509434,3.806603774,1,24,8.833333333,0.094339623,0.018867925,0.136792453,0.047169811,0.08490566,0.004716981,0,0.018867925,0.009433962,0.009433962
dev_028,392,214,0.545918367,3.795918367,1,30,13.06666667,0.073979592,0.020408163,0.130102041,0.053571429,0.043367347,0.033163265,0,0.035714286,0.010204082,0.005102041
